time,message_type,combined_value,channel
2.8133392333984375e-05,control_change,0,0
9.512901306152344e-05,control_change,0,0
0.00040721893310546875,control_change,0,0
0.0008220672607421875,control_change,0,0
0.0012841224670410156,control_change,0,0
0.0017192363739013672,control_change,0,0
0.002160310745239258,control_change,0,0
0.0026102066040039062,control_change,0,0
0.0030591487884521484,control_change,0,0
0.0035903453826904297,control_change,0,0
0.003958225250244141,control_change,0,0
0.0043811798095703125,control_change,0,0
0.004847288131713867,control_change,0,0
0.0053250789642333984,control_change,0,0
0.005767345428466797,control_change,0,0
0.006209135055541992,control_change,0,0
0.006639242172241211,control_change,0,0
0.007077217102050781,control_change,0,0
0.007572174072265625,control_change,0,0
0.007976293563842773,control_change,0,0
0.00852203369140625,control_change,0,0
0.008902311325073242,control_change,0,0
0.00931406021118164,control_change,0,0
0.00976109504699707,control_change,0,0
0.01023721694946289,control_change,0,0
0.010689020156860352,control_change,0,0
0.011243104934692383,control_change,0,0
0.01157832145690918,control_change,0,0
0.012107133865356445,control_change,0,0
0.0126800537109375,control_change,0,0
0.012890100479125977,control_change,0,0
0.013375997543334961,control_change,0,0
0.014000177383422852,control_change,0,0
0.014260053634643555,control_change,0,0
0.014663934707641602,control_change,0,0
0.015116214752197266,control_change,0,0
0.015555143356323242,control_change,0,0
0.016004085540771484,control_change,0,0
0.01646113395690918,control_change,0,0
0.023441314697265625,control_change,0,0
0.023838043212890625,control_change,0,0
0.02827906608581543,control_change,0,0
0.028611183166503906,control_change,0,0
0.028695106506347656,control_change,0,0
0.02874922752380371,control_change,0,0
0.028762102127075195,control_change,0,0
0.02877211570739746,control_change,0,0
0.02878117561340332,control_change,0,0
0.028789043426513672,control_change,0,0
0.02879810333251953,control_change,0,0
0.028814077377319336,control_change,0,0
0.02882218360900879,control_change,0,0
0.028831005096435547,control_change,0,0
0.0288393497467041,control_change,0,0
0.02884817123413086,control_change,0,0
0.02885603904724121,control_change,0,0
0.028862953186035156,control_change,0,0
0.02887129783630371,control_change,0,0
0.028878211975097656,control_change,0,0
0.028886079788208008,control_change,0,0
0.02889394760131836,control_change,0,0
0.028901100158691406,control_change,0,0
0.02890920639038086,control_change,0,0
0.02891707420349121,control_change,0,0
0.02892613410949707,control_change,0,0
0.028933286666870117,control_change,0,0
0.02899622917175293,control_change,0,0
0.032729148864746094,control_change,0,0
0.032871246337890625,control_change,0,0
0.032914161682128906,control_change,0,0
0.03292417526245117,control_change,0,0
0.032964229583740234,control_change,0,0
0.032975196838378906,control_change,0,0
0.03298211097717285,control_change,0,0
0.0329892635345459,control_change,0,0
0.03306221961975098,control_change,0,0
0.03347611427307129,control_change,0,0
0.03636002540588379,control_change,0,0
0.036530256271362305,control_change,0,0
0.03654313087463379,control_change,0,0
0.036550283432006836,control_change,0,0
0.03655719757080078,control_change,0,0
0.03656411170959473,control_change,0,0
0.036611080169677734,control_change,0,0
0.037075042724609375,control_change,0,0
0.0374903678894043,control_change,0,0
0.03841829299926758,control_change,0,0
0.038520097732543945,control_change,0,0
0.0389251708984375,control_change,0,0
0.03926825523376465,control_change,0,0
0.03991222381591797,control_change,0,0
0.040189266204833984,control_change,0,0
0.04062318801879883,control_change,0,0
0.04109025001525879,control_change,0,0
0.04152822494506836,control_change,0,0
0.04195713996887207,control_change,0,0
0.04242205619812012,control_change,0,0
0.04286003112792969,control_change,0,0
0.043305158615112305,control_change,0,0
0.04377031326293945,control_change,0,0
0.044213056564331055,control_change,0,0
0.04467201232910156,control_change,0,0
0.04511904716491699,control_change,0,0
0.045551300048828125,control_change,0,0
0.04601120948791504,control_change,0,0
0.046578168869018555,control_change,0,0
0.046894073486328125,control_change,0,0
0.04734206199645996,control_change,0,0
0.04779314994812012,control_change,0,0
0.048249244689941406,control_change,0,0
0.048696041107177734,control_change,0,0
0.04914212226867676,control_change,0,0
0.04958629608154297,control_change,0,0
0.05003714561462402,control_change,0,0
0.050814151763916016,control_change,0,0
0.05094408988952637,control_change,0,0
0.05143618583679199,control_change,0,0
0.051824331283569336,control_change,0,0
0.0522611141204834,control_change,0,0
0.05274820327758789,control_change,0,0
0.05393409729003906,control_change,0,0
0.05394625663757324,control_change,0,0
0.054044246673583984,control_change,0,0
0.054537057876586914,control_change,0,0
0.056217193603515625,control_change,0,0
0.0566401481628418,control_change,0,0
0.05665111541748047,control_change,0,0
0.05665731430053711,control_change,0,0
0.05678534507751465,control_change,0,0
0.057183027267456055,control_change,0,0
0.05765032768249512,control_change,0,0
0.058454036712646484,control_change,0,0
0.05913710594177246,control_change,0,0
0.05914616584777832,control_change,0,0
0.0595703125,control_change,0,0
0.059876203536987305,control_change,0,0
0.06111431121826172,control_change,0,0
0.06246519088745117,control_change,0,0
0.06481313705444336,control_change,0,0
0.06494712829589844,control_change,0,0
0.06495523452758789,control_change,0,0
0.06496214866638184,control_change,0,0
0.06496810913085938,control_change,0,0
0.06497526168823242,control_change,0,0
0.06500625610351562,control_change,0,0
0.06501412391662598,control_change,0,0
0.06502032279968262,control_change,0,0
0.06528902053833008,control_change,0,0
0.06569910049438477,control_change,0,0
0.06615018844604492,control_change,0,0
0.06896305084228516,control_change,0,0
0.07581520080566406,control_change,0,0
0.07586836814880371,control_change,0,0
0.07587718963623047,control_change,0,0
0.07588410377502441,control_change,0,0
0.07589030265808105,control_change,0,0
0.07590508460998535,control_change,0,0
0.0759119987487793,control_change,0,0
0.07592010498046875,control_change,0,0
0.07592606544494629,control_change,0,0
0.07593226432800293,control_change,0,0
0.07593917846679688,control_change,0,0
0.07594418525695801,control_change,0,0
